"","MEMBER","PARTY","PVI","2016 D%","2016 R%","CLINTON %","TRUMP %"
"Texas-24","Kenny Marchant","R","R+9","39.3%","56.2%","44.3%","50.5%"
"Texas-25","Roger Williams","R","R+11","37.7%","58.3%","39.9%","54.7%"
"Texas-26","Michael Burgess","R","R+18","29.6%","66.4%","34.0%","60.3%"
"Texas-27","Blake Farenthold","R","R+13","38.3%","61.7%","36.4%","59.8%"
"Texas-28","Henry Cuellar","D","D+9","66.2%","31.3%","57.8%","38.1%"
"Texas-29","Gene Green","D","D+19","72.5%","24.0%","71.0%","25.4%"
"Texas-30","Eddie Bernice Johnson","D","D+29","81.6%","15.1%","79.1%","18.3%"
"Texas-31","John Carter","R","R+10","36.5%","58.4%","40.1%","52.6%"
"Texas-32","Pete Sessions","R","R+5","0.0%","71.1%","48.4%","46.6%"
"Texas-33","Marc Veasey","D","D+23","73.7%","26.3%","72.8%","23.7%"
"Texas-34","Filemon Vela","D","D+10","62.7%","37.3%","59.1%","37.6%"
"Texas-35","Lloyd Doggett","D","D+15","63.1%","31.6%","63.6%","30.3%"
"Texas-36","Brian Babin","R","R+26","0.0%","88.6%","25.1%","71.7%"
"Utah-01","Rob Bishop","R","R+26","26.4%","65.9%","22.4%","49.7%"
"Utah-02","Chris Stewart","R","R+16","33.9%","61.6%","32.0%","46.0%"
"Utah-03","VACENT (Chaffetz)","R","R+25","26.5%","73.5%","23.3%","47.2%"
"Utah-04","Mia Love","R","R+13","41.3%","53.8%","32.4%","39.1%"
"Vermont-AL","Peter Welch","D","D+15","89.5%","0.0%","56.7%","30.3%"
"Virginia-01","Rob Wittman","R","R+8","36.6%","59.9%","40.9%","53.1%"
"Virginia-02","Scott Taylor","R","R+3","38.5%","61.3%","45.0%","48.4%"
"Virginia-03","Bobby Scott","D","D+16","66.7%","33.1%","63.2%","31.7%"
"Virginia-04","Don McEachin","D","D+10","57.7%","42.0%","58.4%","37.0%"
"Virginia-05","Tom Garrett","R","R+6","41.6%","58.2%","42.1%","53.1%"
"Virginia-06","Bob Goodlatte","R","R+13","33.1%","66.6%","34.7%","59.3%"
"Virginia-07","Dave Brat","R","R+6","42.2%","57.5%","43.7%","50.2%"
"Virginia-08","Don Beyer","D","D+21","68.4%","27.3%","72.4%","20.6%"
"Virginia-09","Morgan Griffith","R","R+19","28.3%","68.6%","27.2%","68.4%"
"Virginia-10","Barbara Comstock","R","D+1","46.9%","52.7%","51.6%","41.7%"
"Virginia-11","Gerry Connolly","D","D+15","87.9%","0.0%","66.1%","27.2%"
